Label          Precision      Recall         F1-score       
O              0.961471       0.870602       0.913783       
B-ADDRESS      0.510836       0.442359       0.474138       
I-ADDRESS      0.513346       0.622272       0.562585       
B-BOOK         0.505952       0.551948       0.527950       
I-BOOK         0.468317       0.539339       0.501325       
B-COM          0.611702       0.608466       0.610080       
I-COM          0.559494       0.672243       0.610708       
B-GAME         0.626087       0.732203       0.675000       
I-GAME         0.624623       0.759912       0.685658       
B-GOV          0.433702       0.635628       0.515599       
I-GOV          0.469476       0.813670       0.595409       
B-MOVIE        0.507937       0.635762       0.564706       
I-MOVIE        0.471240       0.762332       0.582441       
B-NAME         0.685466       0.679570       0.682505       
I-NAME         0.526074       0.671890       0.590108       
B-ORG          0.561680       0.583106       0.572193       
I-ORG          0.500000       0.528979       0.514081       
B-POS          0.538899       0.655889       0.591667       
I-POS          0.538618       0.690104       0.605023       
B-SCENE        0.360153       0.449761       0.400000       
I-SCENE        0.432702       0.601108       0.503188       
